TransactionID,CustomerID,TransactionDate,Amount,TransactionType,Description,UpdatedBalance
3878,709831983,04-02-24 11:28,220.46,Deposit,Cash Deposit,3496.587558
3879,709831983,04-02-24 21:28,15800,IncomingTransfer,Salary,19296.58756
3880,709831983,04-06-24 21:28,882.21,OnlineShopping,Amazon,18414.37756
3881,709831983,04-07-24 21:28,1400,Payment,Credit Card Payment,17014.37756
3882,709831983,04-09-24 13:28,495.27,Purchase,Grocery,16519.10756
3883,709831983,04-10-24 18:28,914.57,OutgoingTransfer,International Transfer,15604.53756
3884,709831983,04-12-24 21:28,9700,Payment,Rent Payment,5904.537558
3885,709831983,4-13-24 19:28,736.7,Purchase,Clothing,5167.837558
3886,709831983,4-14-24 17:28,699.72,Purchase,Clothing,4468.117558
3887,709831983,4-15-24 15:28,295.3,Payment,Bill Payment,4172.817558
3888,709831983,4-16-24 17:28,237.31,Return,Best Buy Return,4410.127558
3889,709831983,4-17-24 20:28,291.63,Withdrawal,Branch Withdrawal,4118.497558
3890,709831983,4-18-24 11:28,312.28,Purchase,Travel,3806.217558
3891,709831983,4-19-24 19:28,835.51,Withdrawal,Branch Withdrawal,2970.707558
3892,709831983,4-20-24 21:28,698.06,Deposit,Cash Deposit,3668.767558
3893,709831983,4-25-24 10:28,571.21,Deposit,Mobile Deposit,4239.977558
3894,709831983,4-25-24 23:28,772.88,Purchase,Grocery,3467.097558
3895,709831983,4-26-24 10:28,463.13,Return,Target Return,3930.227558
3896,709831983,4-26-24 22:28,716.8,Purchase,Travel,3213.427558
3897,709831983,4-26-24 22:28,443.99,OnlineShopping,Target,2769.437558
3898,709831983,4-27-24 14:28,301.26,Withdrawal,Mobile App Withdrawal,2468.177558
3899,709831983,4-27-24 19:28,431.51,Purchase,Entertainment,2036.667558
3900,709831983,4-29-24 12:28,468.07,Purchase,Entertainment,1568.597558
3901,709831983,05-03-24 23:28,875.17,Return,AliExpress Return,2443.767558
3902,709831983,05-04-24 21:28,15800,IncomingTransfer,Salary,18243.76756
3903,709831983,05-09-24 21:28,1800,Payment,Credit Card Payment,16443.76756
3904,709831983,05-10-24 10:28,566.4,Withdrawal,Mobile App Withdrawal,15877.36756
3905,709831983,05-11-24 17:28,203.25,Purchase,Electronics,15674.11756
3906,709831983,05-12-24 15:28,375.67,Return,Best Buy Return,16049.78756
3907,709831983,5-13-24 19:28,828.85,OutgoingTransfer,Bank Transfer,15220.93756
3908,709831983,5-14-24 14:28,696.58,Withdrawal,Branch Withdrawal,14524.35756
3909,709831983,5-14-24 20:28,890.22,Deposit,Cash Deposit,15414.57756
3910,709831983,5-16-24 19:28,901.44,Deposit,Direct Deposit,16316.01756
3911,709831983,5-17-24 20:28,338.78,Payment,Mortgage Payment,15977.23756
3912,709831983,5-18-24 11:28,901.81,Withdrawal,Mobile App Withdrawal,15075.42756
3913,709831983,5-18-24 14:28,642.3,Purchase,Electronics,14433.12756
3914,709831983,5-18-24 20:28,682.49,Return,AliExpress Return,15115.61756
3915,709831983,5-18-24 21:28,6300,Payment,Rent Payment,8815.617558
3916,709831983,5-19-24 22:28,485.61,Deposit,Mobile Deposit,9301.227558
3917,709831983,5-21-24 21:28,797.38,Payment,Mortgage Payment,8503.847558
3918,709831983,5-22-24 22:28,489.33,Return,Etsy Return,8993.177558
3919,709831983,5-23-24 10:28,856.26,Payment,Bill Payment,8136.917558
3920,709831983,5-24-24 21:28,702.44,OnlineShopping,eBay,7434.477558
3921,709831983,5-25-24 10:28,896.36,Deposit,Check Deposit,8330.837558
3922,709831983,5-29-24 14:28,231.72,Purchase,Restaurant,8099.117558
3923,709831983,5-30-24 19:28,715.89,Withdrawal,Mobile App Withdrawal,7383.227558
3924,709831983,5-31-24 9:28,602.7,OnlineShopping,Best Buy,6780.527558
3925,709831983,06-01-24 14:28,402.86,Return,Best Buy Return,7183.387558
3926,709831983,06-04-24 10:28,459.24,IncomingTransfer,Freelance Payment,7642.627558
3927,709831983,06-04-24 21:28,15800,IncomingTransfer,Salary,23442.62756
3928,709831983,06-04-24 22:28,580.91,Payment,Mortgage Payment,22861.71756
3929,709831983,06-05-24 14:28,704.27,Payment,Mortgage Payment,22157.44756
3930,709831983,06-06-24 17:28,523.21,Purchase,Furniture,21634.23756
3931,709831983,06-07-24 11:28,219.45,IncomingTransfer,Freelance Payment,21853.68756
3932,709831983,06-09-24 21:28,1700,Payment,Credit Card Payment,20153.68756
3933,709831983,06-11-24 10:28,425.96,Purchase,Entertainment,19727.72756
3934,709831983,06-11-24 19:28,396.56,Return,Walmart Return,20124.28756
3935,709831983,6-13-24 18:28,259.62,Return,Store Return,20383.90756
3936,709831983,6-14-24 16:28,605.53,Purchase,Furniture,19778.37756
3937,709831983,6-16-24 21:28,5900,Payment,Rent Payment,13878.37756
3938,709831983,6-19-24 11:28,206.32,IncomingTransfer,Freelance Payment,14084.69756
3939,709831983,6-22-24 16:28,621.92,Purchase,Grocery,13462.77756
3940,709831983,6-25-24 10:28,848.95,Withdrawal,Branch Withdrawal,12613.82756
3941,709831983,6-25-24 10:28,486.12,OnlineShopping,Walmart,12127.70756
3942,709831983,6-25-24 17:28,343.46,Withdrawal,Branch Withdrawal,11784.24756
3943,709831983,6-25-24 23:28,633.21,IncomingTransfer,Freelance Payment,12417.45756
3944,709831983,6-26-24 14:28,244.98,Withdrawal,ATM Withdrawal,12172.47756
3945,709831983,6-26-24 15:28,549.43,OnlineShopping,Amazon,11623.04756
3946,709831983,6-26-24 23:28,414.75,Withdrawal,Branch Withdrawal,11208.29756
3947,709831983,6-27-24 21:28,896.81,IncomingTransfer,Freelance Payment,12105.10756
3948,709831983,6-28-24 11:28,737.61,Deposit,Cash Deposit,12842.71756
3949,709831983,6-28-24 17:28,350.74,Withdrawal,ATM Withdrawal,12491.97756
3950,709831983,6-28-24 18:28,484.24,Return,Etsy Return,12976.21756
3951,709831983,6-28-24 21:28,858.74,IncomingTransfer,Freelance Payment,13834.95756
3952,709831983,07-02-24 14:28,559.45,Purchase,Travel,13275.50756
3953,709831983,07-04-24 21:28,15800,IncomingTransfer,Salary,29075.50756
3954,709831983,07-06-24 21:28,555.56,Return,Etsy Return,29631.06756
3955,709831983,07-08-24 9:28,692.48,Purchase,Furniture,28938.58756
3956,709831983,07-09-24 11:28,305.09,Return,Amazon Return,29243.67756
3957,709831983,07-09-24 21:28,1400,Payment,Credit Card Payment,27843.67756
3958,709831983,07-10-24 21:28,303.98,OutgoingTransfer,International Transfer,27539.69756
3959,709831983,07-11-24 12:28,931.4,Withdrawal,Mobile App Withdrawal,26608.29756
3960,709831983,07-12-24 16:28,792.36,OnlineShopping,Target,25815.93756
3961,709831983,7-13-24 10:28,930.62,OutgoingTransfer,Peer-to-Peer Transfer,24885.31756
3962,709831983,7-13-24 21:28,4700,Payment,Rent Payment,20185.31756
3963,709831983,7-14-24 20:28,373.51,Withdrawal,Branch Withdrawal,19811.80756
3964,709831983,7-15-24 13:28,319.67,Withdrawal,Mobile App Withdrawal,19492.13756
27523,766131033,1-20-24 22:28,206.68,Deposit,Mobile Deposit,954.6423893
27524,766131033,1-22-24 10:28,63.23,Withdrawal,Branch Withdrawal,891.4123893
27525,766131033,1-25-24 12:28,164.04,Purchase,Electronics,727.3723893
27526,766131033,1-31-24 12:28,99.26,OutgoingTransfer,International Transfer,628.1123893
27527,766131033,02-01-24 15:28,24.29,Deposit,Mobile Deposit,652.4023893
27528,766131033,02-02-24 21:28,1750,IncomingTransfer,Salary,2402.402389
27529,766131033,02-05-24 21:28,76.5,Purchase,Restaurant,2325.902389
27530,766131033,02-06-24 20:28,136.66,Withdrawal,Branch Withdrawal,2189.242389
27531,766131033,02-07-24 21:28,1200,Payment,Credit Card Payment,989.2423893
27532,766131033,02-09-24 18:28,89.42,Purchase,Clothing,899.8223893
27533,766131033,02-09-24 22:28,76.77,Purchase,Travel,823.0523893
27534,766131033,02-11-24 17:28,120.17,OutgoingTransfer,International Transfer,702.8823893
27535,766131033,02-11-24 21:28,500,Payment,Insurance Payment,202.8823893
27536,766131033,02-12-24 13:28,148.08,OnlineShopping,Amazon,54.80238934
27537,766131033,2-14-24 23:28,160.29,Payment,Loan Payment,-105.4876107
27538,766131033,2-16-24 10:28,79.91,OutgoingTransfer,Peer-to-Peer Transfer,-185.3976107
27539,766131033,2-17-24 21:28,224.86,Payment,Loan Payment,-410.2576107
27540,766131033,2-26-24 9:28,42.91,OnlineShopping,eBay,-453.1676107
27541,766131033,2-26-24 12:28,197.47,Purchase,Furniture,-650.6376107
27542,766131033,2-27-24 10:28,148.02,Withdrawal,Branch Withdrawal,-798.6576107
27543,766131033,2-27-24 13:28,49.96,IncomingTransfer,Freelance Payment,-748.6976107
27544,766131033,2-27-24 14:28,150.3,Return,Walmart Return,-598.3976107
27545,766131033,03-01-24 11:28,123.35,Return,eBay Return,-475.0476107
27546,766131033,03-02-24 21:28,1750,IncomingTransfer,Salary,1274.952389
27547,766131033,03-07-24 21:28,1200,Payment,Credit Card Payment,74.95238934
27548,766131033,03-08-24 12:28,129.27,Purchase,Restaurant,-54.31761066
27549,766131033,03-09-24 17:28,232.02,OutgoingTransfer,International Transfer,-286.3376107
27550,766131033,03-11-24 21:28,700,Payment,Subscription Payment,-986.3376107
27551,766131033,03-12-24 16:28,73.3,IncomingTransfer,Freelance Payment,-913.0376107
27552,766131033,3-16-24 13:28,38.09,IncomingTransfer,Freelance Payment,-874.9476107
27553,766131033,3-20-24 11:28,196.98,Purchase,Grocery,-1071.927611
27554,766131033,3-21-24 15:28,243.31,Payment,Loan Payment,-1315.237611
27555,766131033,3-29-24 17:28,217.94,IncomingTransfer,Freelance Payment,-1097.297611
27556,766131033,3-31-24 18:28,66.91,Return,AliExpress Return,-1030.387611
27557,766131033,04-01-24 14:28,152.54,Deposit,Cash Deposit,-877.8476107
27558,766131033,04-01-24 21:28,1750,IncomingTransfer,Salary,872.1523893
27559,766131033,04-02-24 12:28,118.56,OnlineShopping,Etsy,753.5923893
27560,766131033,04-03-24 14:28,167.15,Purchase,Clothing,586.4423893
27561,766131033,04-06-24 21:28,1100,Payment,Credit Card Payment,-513.5576107
27562,766131033,04-09-24 18:28,17.58,Deposit,Direct Deposit,-495.9776107
27563,766131033,04-10-24 13:28,228.23,OutgoingTransfer,Wire Transfer,-724.2076107
27564,766131033,04-10-24 21:28,600,Payment,Subscription Payment,-1324.207611
27565,766131033,04-11-24 16:28,154.83,Purchase,Restaurant,-1479.037611
27566,766131033,4-16-24 15:28,179.37,Return,AliExpress Return,-1299.667611
27567,766131033,4-19-24 17:28,180.38,Purchase,Restaurant,-1480.047611
27568,766131033,4-19-24 18:28,22.47,Payment,Mortgage Payment,-1502.517611
27569,766131033,4-23-24 15:28,75,Purchase,Grocery,-1577.517611
27570,766131033,4-25-24 16:28,52.63,Deposit,Direct Deposit,-1524.887611
27571,766131033,05-02-24 17:28,136.17,Withdrawal,ATM Withdrawal,-1661.057611
27572,766131033,05-02-24 21:28,1750,IncomingTransfer,Salary,88.94238934
27573,766131033,05-03-24 18:28,55.97,Purchase,Furniture,32.97238934
27574,766131033,05-04-24 21:28,99.07,IncomingTransfer,Freelance Payment,132.0423893
27575,766131033,05-06-24 22:28,185.71,Payment,Loan Payment,-53.66761066
27576,766131033,05-07-24 21:28,1100,Payment,Credit Card Payment,-1153.667611
27577,766131033,05-09-24 16:28,197.55,Deposit,Direct Deposit,-956.1176107
27578,766131033,05-10-24 21:28,219.32,Deposit,Direct Deposit,-736.7976107
27579,766131033,05-12-24 21:28,600,Payment,Subscription Payment,-1336.797611
27580,766131033,5-16-24 9:28,138.95,Purchase,Pharmacy,-1475.747611
27581,766131033,5-17-24 23:28,196.54,Return,Best Buy Return,-1279.207611
27582,766131033,5-20-24 10:28,222.14,Return,Target Return,-1057.067611
27583,766131033,5-22-24 18:28,88.42,Deposit,Cash Deposit,-968.6476107
27584,766131033,06-02-24 21:28,1750,IncomingTransfer,Salary,781.3523893
27585,766131033,06-05-24 17:28,134.62,Purchase,Grocery,646.7323893
27586,766131033,06-07-24 21:28,1100,Payment,Credit Card Payment,-453.2676107
27587,766131033,06-08-24 11:28,22.55,Purchase,Home Improvement,-475.8176107
27588,766131033,06-10-24 9:28,238.65,Withdrawal,ATM Withdrawal,-714.4676107
27589,766131033,06-10-24 21:28,249.88,Purchase,Gas,-964.3476107
27590,766131033,06-11-24 20:28,231.95,IncomingTransfer,Freelance Payment,-732.3976107
27591,766131033,6-14-24 18:28,58.74,Deposit,Check Deposit,-673.6576107
27592,766131033,6-14-24 21:28,500,Payment,Insurance Payment,-1173.657611
27593,766131033,6-16-24 22:28,242.64,Deposit,Cash Deposit,-931.0176107
27594,766131033,07-01-24 11:28,224.5,OnlineShopping,eBay,-1155.517611
27595,766131033,07-01-24 18:28,243.27,Purchase,Entertainment,-1398.787611
27596,766131033,07-02-24 21:28,1750,IncomingTransfer,Salary,351.2123893
27597,766131033,07-05-24 14:28,42.46,IncomingTransfer,Freelance Payment,393.6723893
27598,766131033,07-07-24 21:28,1200,Payment,Credit Card Payment,-806.3276107
27599,766131033,7-15-24 17:28,139.01,IncomingTransfer,Freelance Payment,-667.3176107
27600,766131033,7-18-24 21:28,700,Payment,Installment Payment,-1367.317611
22716,720067083,1-22-24 17:28,200.76,OutgoingTransfer,Bank Transfer,458.803237
22717,720067083,1-23-24 16:28,75.72,Payment,Bill Payment,383.083237
22718,720067083,1-28-24 16:28,132.89,Payment,Mortgage Payment,250.193237
22719,720067083,1-29-24 14:28,31.61,Return,Etsy Return,281.803237
22720,720067083,1-29-24 20:28,175.24,Purchase,Gas,106.563237
22721,720067083,02-01-24 14:28,117.05,Purchase,Entertainment,-10.48676301
22722,720067083,02-03-24 21:28,2600,IncomingTransfer,Salary,2589.513237
22723,720067083,02-04-24 22:28,121.09,IncomingTransfer,Freelance Payment,2710.603237
22724,720067083,02-06-24 12:28,226.14,Purchase,Gas,2484.463237
22725,720067083,02-07-24 17:28,66.76,Purchase,Electronics,2417.703237
22726,720067083,02-08-24 21:28,900,Payment,Credit Card Payment,1517.703237
22727,720067083,02-11-24 12:28,210.72,Return,Target Return,1728.423237
22728,720067083,02-12-24 21:28,52.12,OnlineShopping,AliExpress,1676.303237
22729,720067083,02-12-24 22:28,65.97,Purchase,Grocery,1610.333237
22730,720067083,2-15-24 21:28,1700,Payment,Rent Payment,-89.66676301
22731,720067083,2-18-24 21:28,95.5,Deposit,Direct Deposit,5.833236986
22732,720067083,2-19-24 14:28,85.87,Deposit,Direct Deposit,91.70323699
22733,720067083,2-21-24 9:28,140.28,Deposit,Cash Deposit,231.983237
22734,720067083,2-23-24 14:28,48.15,Deposit,Direct Deposit,280.133237
22735,720067083,2-23-24 17:28,130.6,OutgoingTransfer,International Transfer,149.533237
22736,720067083,03-01-24 15:28,106.82,Payment,Mortgage Payment,42.71323699
22737,720067083,03-02-24 21:28,207.56,Withdrawal,ATM Withdrawal,-164.846763
22738,720067083,03-03-24 21:28,2600,IncomingTransfer,Salary,2435.153237
22739,720067083,03-06-24 16:28,160.56,Purchase,Travel,2274.593237
22740,720067083,03-07-24 21:28,72.55,Deposit,Direct Deposit,2347.143237
22741,720067083,03-08-24 21:28,1200,Payment,Credit Card Payment,1147.143237
22742,720067083,03-09-24 17:28,62.38,Deposit,Direct Deposit,1209.523237
22743,720067083,03-12-24 22:28,247.45,IncomingTransfer,Freelance Payment,1456.973237
22744,720067083,3-13-24 9:28,132.32,Return,Walmart Return,1589.293237
22745,720067083,3-16-24 21:28,1000,Payment,Rent Payment,589.293237
22746,720067083,3-21-24 20:28,113.51,Return,Walmart Return,702.803237
22747,720067083,3-23-24 22:28,59.34,Payment,Mortgage Payment,643.463237
22748,720067083,3-25-24 10:28,242.38,Withdrawal,Mobile App Withdrawal,401.083237
22749,720067083,3-27-24 10:28,227.03,OnlineShopping,Etsy,174.053237
22750,720067083,04-01-24 18:28,171.05,Payment,Loan Payment,3.003236986
22751,720067083,04-04-24 18:28,238.21,OutgoingTransfer,Bank Transfer,-235.206763
22752,720067083,04-05-24 21:28,2600,IncomingTransfer,Salary,2364.793237
22753,720067083,04-09-24 21:28,11.53,Withdrawal,Branch Withdrawal,2353.263237
22754,720067083,04-10-24 21:28,1000,Payment,Credit Card Payment,1353.263237
22755,720067083,04-12-24 14:28,88.7,IncomingTransfer,Freelance Payment,1441.963237
22756,720067083,4-13-24 18:28,99.63,Purchase,Furniture,1342.333237
22757,720067083,4-15-24 19:28,243.38,Return,Best Buy Return,1585.713237
22758,720067083,4-16-24 15:28,97.77,Deposit,Cash Deposit,1683.483237
22759,720067083,4-17-24 21:28,1200,Payment,Rent Payment,483.483237
22760,720067083,4-18-24 13:28,223.12,Deposit,Mobile Deposit,706.603237
22761,720067083,4-24-24 23:28,139.18,Withdrawal,Branch Withdrawal,567.423237
22762,720067083,4-28-24 10:28,218.09,Payment,Loan Payment,349.333237
22763,720067083,05-01-24 18:28,31.38,Deposit,Mobile Deposit,380.713237
22764,720067083,05-01-24 23:28,229.16,Payment,Mortgage Payment,151.553237
22765,720067083,05-02-24 9:28,170.24,OutgoingTransfer,Wire Transfer,-18.68676301
22766,720067083,05-03-24 21:28,2600,IncomingTransfer,Salary,2581.313237
22767,720067083,05-08-24 21:28,1000,Payment,Credit Card Payment,1581.313237
22768,720067083,05-12-24 18:28,241.74,OutgoingTransfer,Peer-to-Peer Transfer,1339.573237
22769,720067083,5-15-24 21:28,1600,Payment,Rent Payment,-260.426763
22770,720067083,5-15-24 21:28,193.21,Withdrawal,Branch Withdrawal,-453.636763
22771,720067083,5-16-24 21:28,158.47,Purchase,Gas,-612.106763
22772,720067083,5-17-24 21:28,102.68,Withdrawal,Mobile App Withdrawal,-714.786763
22773,720067083,06-03-24 21:28,2600,IncomingTransfer,Salary,1885.213237
22774,720067083,06-03-24 21:28,83.4,Purchase,Restaurant,1801.813237
22775,720067083,06-06-24 13:28,145.84,Purchase,Clothing,1655.973237
22776,720067083,06-06-24 16:28,153.37,Payment,Mortgage Payment,1502.603237
22777,720067083,06-07-24 12:28,232.37,Payment,Bill Payment,1270.233237
22778,720067083,06-08-24 21:28,1100,Payment,Credit Card Payment,170.233237
22779,720067083,06-11-24 16:28,10.37,Purchase,Electronics,159.863237
22780,720067083,06-11-24 17:28,90.97,Purchase,Entertainment,68.89323699
22781,720067083,06-12-24 14:28,231.02,Purchase,Clothing,-162.126763
22782,720067083,06-12-24 23:28,245.56,Deposit,Direct Deposit,83.43323699
22783,720067083,6-13-24 15:28,148.09,OutgoingTransfer,Wire Transfer,-64.65676301
22784,720067083,6-14-24 21:28,1000,Payment,Rent Payment,-1064.656763
22785,720067083,6-16-24 14:28,90.69,Payment,Bill Payment,-1155.346763
22786,720067083,6-17-24 21:28,72.33,OutgoingTransfer,Peer-to-Peer Transfer,-1227.676763
22787,720067083,6-18-24 20:28,78.49,Purchase,Travel,-1306.166763
22788,720067083,6-20-24 13:28,64.83,IncomingTransfer,Freelance Payment,-1241.336763
22789,720067083,6-22-24 14:28,217.45,Purchase,Restaurant,-1458.786763
22790,720067083,6-22-24 14:28,249.11,Purchase,Electronics,-1707.896763
22791,720067083,6-23-24 13:28,40.9,Withdrawal,Branch Withdrawal,-1748.796763
22792,720067083,6-25-24 10:28,125.49,Withdrawal,Mobile App Withdrawal,-1874.286763
22793,720067083,6-28-24 16:28,108.61,OnlineShopping,Amazon,-1982.896763
22794,720067083,07-01-24 14:28,46.74,Deposit,Mobile Deposit,-1936.156763
22795,720067083,07-01-24 20:28,197.6,Deposit,Check Deposit,-1738.556763
22796,720067083,07-03-24 22:28,69.56,OutgoingTransfer,International Transfer,-1808.116763
22797,720067083,07-05-24 21:28,2600,IncomingTransfer,Salary,791.883237
22798,720067083,07-09-24 11:28,199.25,Deposit,Cash Deposit,991.133237
22799,720067083,07-10-24 21:28,1100,Payment,Credit Card Payment,-108.866763
22800,720067083,07-11-24 17:28,153.92,IncomingTransfer,Freelance Payment,45.05323699
22801,720067083,07-11-24 23:28,110.39,Deposit,Mobile Deposit,155.443237
22802,720067083,07-12-24 23:28,12.41,Purchase,Electronics,143.033237
22803,720067083,7-13-24 21:28,800,Payment,Rent Payment,-656.966763
22804,720067083,7-13-24 21:28,102.58,Payment,Bill Payment,-759.546763
22805,720067083,7-14-24 12:28,158.75,Withdrawal,ATM Withdrawal,-918.296763
22806,720067083,7-15-24 9:28,120.23,OutgoingTransfer,Bank Transfer,-1038.526763
22807,720067083,7-17-24 13:28,63.22,Withdrawal,Mobile App Withdrawal,-1101.746763
17660,716790633,1-25-24 10:28,372,OnlineShopping,Best Buy,-372
17661,716790633,02-02-24 15:28,300.64,OutgoingTransfer,Bank Transfer,-672.64
17662,716790633,02-03-24 21:28,5300,IncomingTransfer,Salary,4627.36
17663,716790633,02-08-24 14:28,514.96,Purchase,Home Improvement,4112.4
17664,716790633,02-10-24 18:28,476.58,Deposit,Direct Deposit,4588.98
17665,716790633,02-11-24 14:28,110.97,Payment,Bill Payment,4478.01
17666,716790633,02-12-24 19:28,121.64,Deposit,Cash Deposit,4599.65
17667,716790633,2-16-24 21:28,2100,Payment,Rent Payment,2499.65
17668,716790633,2-21-24 19:28,478.4,OnlineShopping,Best Buy,2021.25
17669,716790633,2-23-24 19:28,112.5,Return,Best Buy Return,2133.75
17670,716790633,2-24-24 20:28,85.73,Purchase,Home Improvement,2048.02
17671,716790633,2-25-24 22:28,244.13,Return,Best Buy Return,2292.15
17672,716790633,2-27-24 20:28,511.43,Withdrawal,Branch Withdrawal,1780.72
17673,716790633,2-29-24 20:28,521.56,OnlineShopping,Target,1259.16
17674,716790633,03-03-24 21:28,5300,IncomingTransfer,Salary,6559.16
17675,716790633,3-13-24 21:28,3100,Payment,Rent Payment,3459.16
17676,716790633,3-16-24 19:28,154.1,IncomingTransfer,Freelance Payment,3613.26
17677,716790633,3-18-24 17:28,329.63,IncomingTransfer,Freelance Payment,3942.89
17678,716790633,3-26-24 13:28,72.36,Purchase,Grocery,3870.53
17679,716790633,3-31-24 10:28,482.06,OnlineShopping,eBay,3388.47
17680,716790633,04-01-24 21:28,5300,IncomingTransfer,Salary,8688.47
17681,716790633,04-02-24 14:28,523.97,Return,AliExpress Return,9212.44
17682,716790633,04-05-24 22:28,494.07,Payment,Loan Payment,8718.37
17683,716790633,04-10-24 11:28,548.36,Withdrawal,ATM Withdrawal,8170.01
17684,716790633,04-11-24 23:28,168.5,Purchase,Restaurant,8001.51
17685,716790633,4-17-24 21:28,1600,Payment,Rent Payment,6401.51
17686,716790633,4-28-24 22:28,158.88,Purchase,Grocery,6242.63
17687,716790633,05-05-24 21:28,5300,IncomingTransfer,Salary,11542.63
17688,716790633,05-10-24 12:28,199.57,OutgoingTransfer,International Transfer,11343.06
17689,716790633,05-11-24 21:28,1400,Payment,Rent Payment,9943.06
17690,716790633,5-13-24 17:28,152.32,Deposit,Cash Deposit,10095.38
