transaction_id,customer_id,transaction_date,spending_amount,expense_type,expense_description
65,708134283,5-25-24 23:54,120.51,Health,Therapy session
66,708134283,5-26-24 1:46,8.23,Technology,Gadget store
67,708134283,5-26-24 23:52,57.73,Transportation,Gas station
68,708134283,5-28-24 9:39,8.37,Health,Pharmacy
69,708134283,06-01-24 5:09,6.11,Miscellaneous,Other expenses
70,708134283,06-02-24 5:59,9.49,Entertainment,Museum entry
71,708134283,06-02-24 10:40,11.1,Miscellaneous,Donations
72,708134283,06-03-24 14:17,115.29,Health,Therapy session
73,708134283,06-04-24 1:35,7.79,Transportation,Flight ticket
74,708134283,06-05-24 1:43,4.96,Miscellaneous,Donations
75,708134283,06-05-24 8:02,10.38,Miscellaneous,Other expenses
76,708134283,06-10-24 3:48,7.17,Transportation,Flight ticket
77,708134283,06-11-24 15:10,59.51,Technology,Software purchase
78,708134283,6-13-24 9:16,14.46,Miscellaneous,Pet supplies
79,708134283,6-13-24 13:38,45.77,Groceries,Organic food store
80,708134283,6-17-24 21:26,4.96,Restaurant,Breakfast
81,708134283,6-18-24 12:15,13.43,Health,Pharmacy
82,708134283,6-20-24 2:46,10.89,Miscellaneous,Home supplies
83,708134283,6-25-24 11:31,49.62,Health,Dental care
84,708134283,6-25-24 22:10,8.84,Miscellaneous,Donations
85,708134283,6-26-24 1:09,23.52,Groceries,Organic food store
86,708134283,6-30-24 4:08,53.71,Groceries,Grocery store shopping
87,708134283,07-07-24 0:25,236.78,Health,Pharmacy
88,708134283,07-08-24 4:11,51.76,Transportation,Taxi
89,708134283,07-09-24 16:34,176.58,Groceries,Supermarket shopping
90,708134283,07-11-24 1:05,47.1,Clothing,Boutique shopping
91,708134283,7-18-24 16:36,28.66,Miscellaneous,Pet supplies
92,708134283,7-19-24 2:26,14.06,Groceries,Supermarket shopping
93,708134283,7-19-24 19:57,53.01,Entertainment,Museum entry
94,708147108,1-22-24 19:59,44.81,Clothing,Boutique shopping
95,708147108,1-22-24 22:19,53.2,Restaurant,Fast food
96,708147108,1-23-24 23:12,8.39,Clothing,Footwear store
97,708147108,1-27-24 4:55,50.38,Restaurant,Fast food
98,708147108,1-28-24 15:01,95.8,Clothing,Boutique shopping
99,708147108,1-29-24 15:19,65.25,Clothing,Boutique shopping
100,708147108,1-30-24 17:42,553.91,Groceries,Organic food store
101,708147108,02-02-24 1:56,37.28,Transportation,Gas station
102,708147108,02-02-24 15:41,36.3,Groceries,Supermarket shopping
103,708147108,02-04-24 23:48,214.18,Groceries,Farmer's market
104,708147108,02-05-24 5:57,283.32,Entertainment,Museum entry
105,708147108,02-05-24 22:44,180.12,Entertainment,Amusement park
106,708147108,02-06-24 1:45,69.05,Transportation,Bus ticket
107,708147108,02-06-24 2:57,30.35,Restaurant,Breakfast
108,708147108,02-06-24 8:43,48.46,Transportation,Taxi
109,708147108,02-06-24 9:23,193.85,Groceries,Organic food store
110,708147108,02-06-24 18:24,52.96,Groceries,Organic food store
111,708147108,02-09-24 5:30,19.62,Transportation,Bus ticket
112,708147108,02-09-24 17:26,35.61,Restaurant,Breakfast
113,708147108,02-12-24 8:09,5.7,Transportation,Train ticket
114,708147108,2-16-24 23:28,71.4,Miscellaneous,Donations
115,708147108,2-17-24 9:25,785.35,Miscellaneous,Other expenses
116,708147108,2-19-24 2:45,70.89,Miscellaneous,Home supplies
117,708147108,2-20-24 3:07,64.91,Groceries,Farmer's market
118,708147108,2-21-24 14:11,73.71,Transportation,Taxi
119,708147108,2-21-24 19:13,930.2,Technology,Hardware purchase
120,708147108,2-25-24 8:01,6.38,Clothing,Retail store shopping
121,708147108,2-29-24 21:55,374.33,Entertainment,Amusement park
122,708147108,2-29-24 22:23,25.18,Groceries,Grocery store shopping
123,708147108,03-03-24 11:05,669.97,Restaurant,Breakfast
124,708147108,03-10-24 12:41,91.12,Groceries,Farmer's market
125,708147108,03-11-24 7:44,7.08,Clothing,Retail store shopping
126,708147108,03-11-24 17:59,24.29,Restaurant,Lunch
127,708147108,03-12-24 18:35,226.33,Transportation,Train ticket
128,708147108,3-14-24 7:41,56.69,Transportation,Gas station
129,708147108,3-15-24 6:59,10.12,Groceries,Supermarket shopping
130,708147108,3-16-24 7:30,45.41,Groceries,Supermarket shopping
131,708147108,3-17-24 16:38,28.46,Health,Optometrist visit
132,708147108,3-19-24 20:04,33.72,Groceries,Supermarket shopping
133,708147108,3-20-24 20:07,101.62,Miscellaneous,Other expenses
134,708147108,3-23-24 23:36,951.62,Groceries,Supermarket shopping
135,708147108,3-30-24 22:04,142.09,Clothing,Footwear store
136,708147108,04-08-24 11:21,559.28,Health,Dental care
137,708147108,04-12-24 15:54,588.35,Restaurant,Cafe
138,708147108,4-18-24 2:20,233.43,Clothing,Thrift store
139,708147108,4-19-24 2:03,443.04,Health,Doctor appointment
140,708147108,4-22-24 4:59,283.11,Health,Pharmacy
141,708147108,4-22-24 10:56,168.27,Entertainment,Sport event ticket
142,708147108,4-25-24 17:44,595.33,Groceries,Farmer's market
143,708147108,05-01-24 23:11,7.21,Entertainment,Museum entry
144,708147108,05-03-24 17:54,164.38,Technology,Hardware purchase
145,708147108,05-09-24 6:42,374.54,Clothing,Footwear store
146,708147108,05-12-24 13:50,155.27,Clothing,Online clothing shopping
147,708147108,5-13-24 4:11,13.46,Groceries,Grocery store shopping
148,708147108,5-15-24 23:02,105.91,Entertainment,Theater ticket
149,708147108,5-15-24 23:58,86.82,Health,Therapy session
150,708147108,5-26-24 18:16,42.37,Technology,Gadget store
151,708147108,5-27-24 19:53,419.58,Clothing,Thrift store
152,708147108,5-28-24 10:29,43.04,Restaurant,Lunch
153,708147108,5-29-24 14:04,14.22,Health,Optometrist visit
154,708147108,5-30-24 1:13,340.36,Health,Dental care
155,708147108,5-30-24 22:02,16.92,Miscellaneous,Hobbies
156,708147108,5-31-24 1:42,51.64,Restaurant,Brunch
157,708147108,06-01-24 16:33,584.3,Clothing,Online clothing shopping
158,708147108,06-02-24 19:03,33.4,Health,Doctor appointment
159,708147108,06-04-24 21:16,58.22,Clothing,Thrift store
160,708147108,06-05-24 7:56,123.76,Groceries,Organic food store
161,708147108,06-06-24 1:14,323.59,Miscellaneous,Hobbies
162,708147108,06-06-24 5:06,22.26,Entertainment,Theater ticket
163,708147108,06-06-24 14:12,11.39,Entertainment,Museum entry
164,708147108,06-08-24 20:00,379.99,Health,Dental care
165,708147108,06-09-24 8:39,33.49,Miscellaneous,Gifts
166,708147108,06-10-24 11:46,17.81,Health,Therapy session
167,708147108,06-12-24 19:13,5,Miscellaneous,Donations
168,708147108,6-17-24 2:49,47.63,Miscellaneous,Donations
169,708147108,6-19-24 8:01,41.16,Technology,Hardware purchase
170,708147108,6-21-24 5:08,54.25,Transportation,Taxi
171,708147108,6-22-24 5:40,41.47,Technology,Software purchase
172,708147108,6-22-24 5:42,50.46,Technology,Online tech shopping
173,708147108,6-23-24 5:51,408.67,Entertainment,Amusement park
174,708147108,6-23-24 9:15,39.12,Restaurant,Cafe
175,708147108,6-23-24 15:51,48.54,Restaurant,Lunch
176,708147108,6-24-24 8:27,221.96,Transportation,Taxi
177,708147108,6-26-24 0:28,51.91,Entertainment,Cinema ticket
178,708147108,6-27-24 10:12,28.65,Health,Doctor appointment
179,708147108,6-30-24 2:48,21.75,Miscellaneous,Home supplies
180,708147108,07-04-24 15:33,32.31,Groceries,Organic food store
181,708147108,07-04-24 21:52,18.62,Restaurant,Cafe
182,708147108,07-08-24 11:51,518.25,Health,Therapy session
183,708147108,07-08-24 18:06,21.36,Clothing,Online clothing shopping
184,708147108,07-09-24 0:56,16.88,Restaurant,Cafe
185,708147108,07-12-24 15:26,55.47,Technology,Gadget store
186,708147108,07-12-24 18:48,49.5,Clothing,Retail store shopping
187,708147108,7-13-24 15:49,14.23,Miscellaneous,Gifts
188,708147108,7-14-24 8:41,222.18,Clothing,Retail store shopping
189,708147108,7-14-24 10:59,407.27,Entertainment,Sport event ticket
190,708147108,7-15-24 14:08,23.43,Groceries,Supermarket shopping
191,708147108,7-16-24 3:38,28.52,Health,Doctor appointment
192,708147108,7-16-24 14:26,18.19,Restaurant,Lunch
193,708147108,7-19-24 0:14,35.28,Restaurant,Fast food
194,708177333,1-26-24 9:59,16.74,Groceries,Organic food store
195,708177333,1-28-24 1:35,33.79,Technology,Hardware purchase
196,708177333,1-28-24 17:26,126.83,Technology,Online tech shopping
197,708177333,1-30-24 18:34,71.87,Technology,Online tech shopping
198,708177333,1-31-24 3:29,415.76,Transportation,Car rental
199,708177333,1-31-24 14:50,131.22,Groceries,Organic food store
200,708177333,02-01-24 2:21,36.58,Entertainment,Sport event ticket
201,708177333,02-03-24 10:40,31.29,Clothing,Retail store shopping
202,708177333,02-05-24 18:22,364.74,Technology,Gadget store
203,708177333,02-05-24 23:38,150.3,Transportation,Gas station
204,708177333,02-06-24 3:48,8.27,Groceries,Farmer's market
205,708177333,02-07-24 20:03,102.63,Technology,Software purchase
206,708177333,02-11-24 22:11,181.44,Health,Doctor appointment
207,708177333,02-12-24 10:02,17.5,Miscellaneous,Home supplies
208,708177333,2-16-24 6:16,10.25,Restaurant,Breakfast
209,708177333,2-17-24 17:05,28.12,Restaurant,Dinner
210,708177333,2-19-24 21:24,17.27,Technology,Gadget store
211,708177333,2-20-24 9:45,5,Transportation,Car rental
212,708177333,2-23-24 5:10,465.73,Miscellaneous,Other expenses
213,708177333,2-27-24 9:05,71.5,Transportation,Car rental
214,708177333,2-29-24 4:00,346.49,Transportation,Train ticket
215,708177333,03-04-24 5:43,106.09,Groceries,Supermarket shopping
216,708177333,03-07-24 1:46,478.41,Restaurant,Fast food
217,708177333,03-12-24 23:05,120.84,Groceries,Farmer's market
218,708177333,3-15-24 0:59,73.9,Clothing,Boutique shopping
219,708177333,3-15-24 20:18,60.44,Clothing,Boutique shopping
220,708177333,3-17-24 19:05,991.6,Transportation,Car rental
221,708177333,3-24-24 17:48,254.77,Transportation,Bus ticket
222,708177333,3-25-24 13:29,238.9,Health,Dental care
223,708177333,3-29-24 4:42,201.53,Entertainment,Museum entry
224,708177333,3-30-24 2:29,39.33,Transportation,Flight ticket
225,708177333,3-30-24 6:51,285.25,Restaurant,Fast food
226,708177333,3-30-24 11:40,58.78,Restaurant,Lunch
227,708177333,04-04-24 6:56,238.46,Health,Doctor appointment
228,708177333,04-04-24 14:23,4.99,Clothing,Footwear store
229,708177333,04-09-24 13:07,39.73,Technology,Software purchase
230,708177333,04-11-24 0:40,317.64,Entertainment,Theater ticket
231,708177333,04-12-24 12:59,47.99,Technology,Online tech shopping
232,708177333,4-13-24 19:27,6.86,Clothing,Thrift store
233,708177333,4-15-24 13:42,148.46,Groceries,Organic food store
234,708177333,4-19-24 0:14,64.36,Transportation,Car rental
235,708177333,4-23-24 2:46,31.91,Technology,Hardware purchase
236,708177333,4-23-24 17:33,86.83,Restaurant,Cafe
237,708177333,4-25-24 13:18,87.2,Technology,Gadget store
238,708177333,4-27-24 17:41,48.23,Transportation,Gas station
239,708177333,4-29-24 12:45,139.77,Groceries,Supermarket shopping
240,708177333,05-01-24 13:03,181.46,Restaurant,Brunch
241,708177333,05-04-24 5:02,27.87,Groceries,Organic food store
242,708177333,05-04-24 19:57,106.19,Groceries,Supermarket shopping
243,708177333,05-05-24 23:17,16.15,Technology,Hardware purchase
244,708177333,05-06-24 21:02,54.63,Entertainment,Museum entry
245,708177333,05-08-24 0:15,82.17,Entertainment,Amusement park
246,708177333,05-08-24 0:28,124.29,Technology,Online tech shopping
247,708177333,05-09-24 3:56,50.51,Clothing,Retail store shopping
248,708177333,5-14-24 3:55,162.35,Groceries,Supermarket shopping
249,708177333,5-16-24 7:41,106.23,Restaurant,Lunch
250,708177333,5-19-24 9:28,955.46,Entertainment,Theater ticket
251,708177333,5-25-24 1:16,295.97,Groceries,Organic food store
252,708177333,5-28-24 8:03,154.31,Restaurant,Breakfast
253,708177333,5-31-24 7:36,292.77,Groceries,Farmer's market
254,708177333,06-01-24 19:27,618.33,Groceries,Organic food store
255,708177333,06-09-24 17:38,390.76,Technology,Online tech shopping
256,708177333,6-25-24 7:34,39.35,Restaurant,Dinner
257,708177333,6-25-24 20:28,39.08,Groceries,Farmer's market
258,708177333,6-30-24 22:04,82.78,Technology,Gadget store
259,708177333,07-03-24 5:34,227.38,Miscellaneous,Gifts
260,708177333,07-03-24 13:24,31.46,Restaurant,Fast food
261,708177333,07-03-24 15:51,18.16,Transportation,Flight ticket
262,708177333,07-05-24 2:28,796.52,Restaurant,Breakfast
263,708177333,07-06-24 2:30,56.88,Restaurant,Lunch
264,708177333,07-07-24 10:47,79.65,Clothing,Boutique shopping
265,708177333,07-07-24 20:50,22.13,Transportation,Gas station
266,708177333,07-08-24 18:35,150.73,Entertainment,Sport event ticket
267,708177333,07-09-24 6:26,402.82,Entertainment,Museum entry
268,708177333,07-09-24 7:03,107.03,Technology,Hardware purchase
269,708177333,07-09-24 10:18,31.61,Restaurant,Fast food
270,708177333,07-09-24 16:44,5.58,Miscellaneous,Pet supplies
271,708177333,07-12-24 9:52,257.42,Miscellaneous,Donations
272,708177333,7-13-24 4:22,72.68,Restaurant,Dinner
273,708177333,7-13-24 5:36,20.23,Restaurant,Lunch
274,708177333,7-17-24 7:50,485.9,Health,Dental care
275,708177333,7-18-24 15:05,75.51,Restaurant,Fast food
276,708242283,1-23-24 15:08,635.98,Transportation,Taxi
277,708242283,1-24-24 7:06,351.62,Groceries,Grocery store shopping
278,708242283,1-25-24 2:36,543.97,Transportation,Bus ticket
279,708242283,1-26-24 0:26,308.86,Entertainment,Amusement park
280,708242283,1-28-24 14:27,513.71,Groceries,Organic food store
281,708242283,1-31-24 14:43,47.89,Miscellaneous,Donations
282,708242283,02-11-24 3:04,739.22,Transportation,Flight ticket
283,708242283,02-11-24 11:30,205.62,Transportation,Flight ticket
284,708242283,2-20-24 17:45,234.08,Technology,Gadget store
285,708242283,2-23-24 7:26,174.61,Entertainment,Sport event ticket
286,708242283,2-26-24 20:24,38.36,Entertainment,Cinema ticket
287,708242283,2-28-24 19:04,33.67,Groceries,Organic food store
288,708242283,03-02-24 0:15,75.66,Entertainment,Cinema ticket
289,708242283,03-03-24 3:48,236.54,Groceries,Farmer's market
290,708242283,03-05-24 19:46,124.26,Restaurant,Breakfast
291,708242283,03-08-24 16:02,42.23,Transportation,Gas station
292,708242283,3-14-24 15:59,140.15,Entertainment,Concert ticket
293,708242283,3-17-24 13:19,56.17,Technology,Hardware purchase
294,708242283,3-17-24 15:39,77.27,Restaurant,Fast food
295,708242283,3-18-24 1:21,402.37,Transportation,Bus ticket
296,708242283,3-19-24 1:53,706.49,Technology,Hardware purchase
297,708242283,3-19-24 17:24,825.74,Clothing,Boutique shopping
298,708242283,3-20-24 20:02,80.26,Groceries,Organic food store
299,708242283,3-21-24 4:05,705.73,Clothing,Thrift store
300,708242283,3-27-24 15:12,99.82,Technology,Electronics shopping
301,708242283,3-28-24 9:01,281.14,Transportation,Gas station
302,708242283,3-28-24 9:21,69.62,Miscellaneous,Donations
303,708242283,3-29-24 13:13,110.3,Clothing,Online clothing shopping
304,708242283,3-30-24 16:00,64.86,Restaurant,Cafe
305,708242283,3-31-24 17:45,47.2,Technology,Online tech shopping
306,708242283,04-01-24 7:06,372.42,Transportation,Train ticket
307,708242283,04-02-24 10:04,79.08,Health,Therapy session
308,708242283,04-08-24 5:21,104.57,Groceries,Grocery store shopping
309,708242283,04-08-24 16:19,77.79,Technology,Electronics shopping
310,708242283,04-09-24 5:26,474.01,Clothing,Thrift store
311,708242283,04-10-24 21:57,929.92,Restaurant,Cafe
312,708242283,04-11-24 16:43,165.25,Entertainment,Cinema ticket
313,708242283,4-17-24 18:55,122.57,Health,Optometrist visit
314,708242283,4-17-24 23:38,443.34,Health,Optometrist visit
315,708242283,4-22-24 17:17,471.11,Clothing,Boutique shopping
316,708242283,4-22-24 21:52,77.71,Groceries,Farmer's market
317,708242283,4-22-24 23:37,291.53,Technology,Gadget store
318,708242283,4-24-24 10:12,45.67,Entertainment,Sport event ticket
319,708242283,4-26-24 9:39,20.2,Clothing,Footwear store
320,708242283,4-29-24 17:03,7.65,Transportation,Bus ticket
321,708242283,05-01-24 6:39,804.68,Miscellaneous,Home supplies
322,708242283,05-01-24 15:11,102.41,Entertainment,Theater ticket
323,708242283,05-01-24 20:36,120.93,Groceries,Organic food store
324,708242283,05-04-24 16:12,23.07,Miscellaneous,Hobbies
325,708242283,05-06-24 15:13,90.97,Health,Pharmacy
326,708242283,05-10-24 17:44,28.4,Restaurant,Fast food
327,708242283,05-11-24 5:03,112.03,Groceries,Organic food store
328,708242283,05-11-24 13:10,59.58,Entertainment,Amusement park
329,708242283,05-11-24 16:32,99.81,Health,Dental care
330,708242283,05-12-24 13:26,81.49,Groceries,Supermarket shopping
331,708242283,5-13-24 7:05,180.71,Entertainment,Concert ticket
332,708242283,5-14-24 5:17,353.21,Health,Therapy session
333,708242283,5-15-24 4:39,20.32,Transportation,Flight ticket
334,708242283,5-15-24 7:02,110.1,Transportation,Taxi
335,708242283,5-17-24 10:41,120.02,Restaurant,Fast food
336,708242283,5-17-24 23:02,39.88,Transportation,Train ticket
337,708242283,5-19-24 12:04,82.62,Health,Doctor appointment
338,708242283,5-31-24 16:10,520.11,Entertainment,Sport event ticket
339,708242283,06-03-24 13:10,919.54,Miscellaneous,Pet supplies
340,708242283,06-05-24 15:33,294.34,Groceries,Farmer's market
341,708242283,06-06-24 17:45,936.67,Entertainment,Cinema ticket
342,708242283,06-07-24 6:48,417.88,Clothing,Boutique shopping
343,708249708,1-22-24 8:33,17.66,Technology,Gadget store
344,708249708,1-22-24 10:14,39.23,Clothing,Online clothing shopping
345,708249708,1-23-24 7:38,34.89,Clothing,Retail store shopping
346,708249708,1-24-24 5:36,19.62,Health,Therapy session
347,708249708,1-28-24 2:57,375.47,Miscellaneous,Donations
348,708249708,1-28-24 13:31,376.42,Clothing,Online clothing shopping
349,708249708,02-01-24 9:13,37.66,Miscellaneous,Home supplies
350,708249708,02-03-24 17:48,107.15,Clothing,Thrift store
351,708249708,02-05-24 2:45,385.28,Transportation,Car rental
352,708249708,02-08-24 9:00,5.24,Entertainment,Museum entry
353,708249708,02-10-24 11:20,15.03,Miscellaneous,Gifts
354,708249708,2-14-24 13:25,40.66,Transportation,Car rental
355,708249708,2-14-24 14:57,6.92,Health,Dental care
356,708249708,2-15-24 9:45,151.54,Transportation,Taxi
357,708249708,2-21-24 8:26,28.55,Entertainment,Concert ticket
358,708249708,2-21-24 20:01,413.45,Groceries,Grocery store shopping
359,708249708,2-22-24 8:02,9.71,Restaurant,Fast food
360,708249708,2-23-24 1:54,107.66,Entertainment,Museum entry
361,708249708,2-24-24 1:38,6.85,Restaurant,Cafe
362,708249708,2-26-24 2:09,142.71,Technology,Hardware purchase
363,708249708,2-26-24 4:20,31.26,Restaurant,Cafe
364,708249708,2-27-24 8:17,42.32,Transportation,Taxi
365,708249708,2-29-24 4:52,32.02,Miscellaneous,Hobbies
366,708249708,2-29-24 9:12,6.91,Groceries,Farmer's market
367,708249708,03-01-24 16:32,5.68,Groceries,Supermarket shopping
368,708249708,03-03-24 3:53,61.86,Restaurant,Breakfast
369,708249708,03-04-24 13:08,26.16,Miscellaneous,Other expenses
370,708249708,03-07-24 6:50,103.72,Miscellaneous,Home supplies
371,708249708,03-10-24 9:42,141.36,Miscellaneous,Gifts
372,708249708,03-11-24 5:29,310.95,Health,Dental care
373,708249708,03-12-24 9:01,19.5,Transportation,Taxi
374,708249708,3-17-24 17:13,163.4,Entertainment,Museum entry
375,708249708,3-19-24 9:56,54.38,Miscellaneous,Gifts
376,708249708,3-20-24 16:37,13.56,Health,Doctor appointment
377,708249708,3-20-24 20:26,46.56,Miscellaneous,Pet supplies
378,708249708,3-22-24 14:55,14.17,Restaurant,Breakfast
379,708249708,3-23-24 7:58,12.36,Technology,Electronics shopping
380,708249708,3-23-24 19:11,113.14,Transportation,Taxi
381,708249708,3-25-24 2:35,22.84,Restaurant,Brunch
382,708249708,3-25-24 7:17,64.82,Restaurant,Lunch
383,708249708,3-26-24 13:22,27.36,Entertainment,Sport event ticket
384,708249708,3-29-24 14:38,178.71,Restaurant,Cafe
385,708249708,04-04-24 3:39,279.26,Clothing,Boutique shopping
386,708249708,04-05-24 15:15,18.62,Transportation,Gas station
387,708249708,04-07-24 6:50,60.22,Clothing,Thrift store
388,708249708,04-08-24 3:55,15.39,Health,Optometrist visit
389,708249708,04-08-24 7:50,25.69,Transportation,Train ticket
390,708249708,04-10-24 12:51,20.86,Health,Optometrist visit
391,708249708,04-11-24 0:18,5,Restaurant,Dinner
392,708249708,04-11-24 20:09,5,Entertainment,Sport event ticket
393,708249708,04-12-24 6:47,53.63,Transportation,Flight ticket
394,708249708,4-13-24 4:10,26.34,Transportation,Car rental
395,708249708,4-14-24 7:24,27.62,Technology,Gadget store
396,708249708,4-14-24 19:11,12.19,Miscellaneous,Pet supplies
397,708249708,4-15-24 2:29,23.62,Technology,Electronics shopping
398,708249708,4-15-24 14:44,39.91,Groceries,Organic food store
399,708249708,4-16-24 18:59,19.2,Transportation,Gas station
400,708249708,4-17-24 14:59,26.22,Restaurant,Lunch
401,708249708,4-19-24 23:51,90.97,Groceries,Supermarket shopping
402,708249708,4-20-24 18:01,28.89,Technology,Electronics shopping
403,708249708,4-22-24 16:53,108.82,Clothing,Online clothing shopping
404,708249708,4-28-24 1:17,27.92,Groceries,Grocery store shopping
405,708249708,05-01-24 22:57,438.38,Restaurant,Cafe
406,708249708,05-04-24 17:13,233.96,Groceries,Grocery store shopping
407,708249708,05-07-24 1:09,312.56,Transportation,Bus ticket
408,708249708,5-13-24 18:00,21.19,Transportation,Bus ticket
409,708249708,5-21-24 9:36,290.32,Transportation,Car rental
410,708249708,5-22-24 14:57,11.79,Groceries,Farmer's market
411,708249708,5-25-24 8:26,39.57,Entertainment,Amusement park
412,708249708,5-28-24 19:15,31.75,Groceries,Farmer's market
413,708249708,06-02-24 8:54,26.16,Restaurant,Brunch
414,708249708,06-02-24 18:06,28.13,Groceries,Farmer's market
415,708249708,06-06-24 6:49,323.88,Entertainment,Amusement park
416,708249708,06-12-24 16:40,33.22,Technology,Hardware purchase
417,708249708,6-13-24 21:21,197.67,Miscellaneous,Pet supplies
418,708249708,6-14-24 19:49,33.31,Restaurant,Cafe
419,708249708,6-15-24 12:59,26.02,Groceries,Supermarket shopping
420,708249708,6-15-24 19:50,34.98,Transportation,Train ticket
421,708249708,6-16-24 22:32,34.46,Clothing,Online clothing shopping
422,708249708,6-19-24 3:10,129.58,Miscellaneous,Other expenses
423,708249708,6-20-24 16:32,60.07,Restaurant,Breakfast
424,708249708,6-20-24 22:00,53.41,Health,Therapy session
425,708249708,6-22-24 5:21,279.57,Clothing,Thrift store
426,708249708,6-23-24 2:18,45.13,Restaurant,Lunch
427,708249708,6-23-24 8:04,61.06,Health,Optometrist visit
428,708249708,6-26-24 3:55,28.21,Groceries,Grocery store shopping
429,708249708,6-29-24 18:14,14.23,Miscellaneous,Pet supplies
430,708249708,07-02-24 17:11,389.5,Entertainment,Cinema ticket
431,708249708,07-08-24 2:24,23.02,Health,Dental care
432,708249708,07-09-24 23:45,27.46,Clothing,Online clothing shopping
433,708249708,07-12-24 1:09,36.94,Entertainment,Museum entry
434,708249708,7-13-24 18:08,747.57,Transportation,Gas station
435,708249708,7-14-24 13:29,73.85,Restaurant,Breakfast
436,708249708,7-15-24 0:27,49.57,Clothing,Retail store shopping
437,708249708,7-15-24 18:36,89.15,Entertainment,Concert ticket
438,708249708,7-19-24 10:23,28.26,Miscellaneous,Home supplies
